indices,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,-0.00514927198044,-0.117752526618355,-0.531883633391035,-0.135808437472086,-0.030297200753486,-1.00165706830761,-0.387100122083948,-1.33141080403821,-0.304981635316274,-0.435806024626512,-0.093348935898008,-0.105125167770545,-0.894305239588857,-0.166933962377612,0.47963289776991,0.070481353208651,0.311830941161363,0.067693747085825,0.010504875680964,0.200889806643344,-0.012621666876432,0.484726085870538,0.207951322396427,0.017565594861274,0.20663167409054,0.119212330740324,1.5557185758168,1.04318238478938,0.442774408397793,0.171167036040313,0.12371924799778,0.810630940272491,1.0027008827747,0.459984955314809,0.334626977917438,0.896094473153789,0.670528770904572,0.175857161362005,0.537513933587598,2.1994166046511,0.711729687662521,3.50589831999402,0.325501691933732,3.45788862368172,2.64096001605762,3.75189737415368,2.28500281184992,2.82412885824409,3.1890113351964,2.40285011516195
2,-0.001659683079091,-0.191171589652848,-0.102583769074591,-0.096241853485681,-0.074933890537828,-0.992014886720295,-0.250025070784825,-0.402475373218202,-0.823997858539956,-0.077829331067847,-0.062026107174622,-0.047465534752042,-0.14361086924876,0.143663968990851,0.446889569835802,0.049155486951874,0.158695824743233,-0.011537678636159,0.001520709962181,0.069689959492154,0.008461279624615,0.225348770348803,0.146788636794003,0.078906819072985,-0.142869453017683,-0.032839421160083,1.02796994620574,-0.132315376899811,0.337377030265291,0.088192810590004,0.166472032777759,1.06317716834786,0.763604734540096,0.074373645014178,0.64259125093025,1.17429516031484,0.962672883154907,0.073190623915134,0.256296204813587,2.4813246520537,0.688711524712443,3.51765560129123,0.396872604426329,3.23208921201885,2.42447654532298,2.48215734426278,2.34712488407405,2.252803115769,4.05331736137746,1.98117930498633
3,-0.003860462327307,-0.095776312646835,-0.307339988265517,-0.119333947386338,-0.028709140277488,-0.601452359821674,-0.265333513050007,0.326870683829552,-0.163623870334598,-0.119346707928973,-0.087991956155476,-0.02380881458472,-0.510342898505982,0.241032367756311,0.250595736348089,0.045911078998563,-0.178137498636796,0.063883507640062,-0.003786698238013,0.118253958403632,0.007060058099089,-0.068463720323375,0.326536204737092,-0.009836981236095,0.054725543953086,-0.009854536658707,-0.079562955771738,0.960536376335906,0.100943576424362,0.068045509629445,0.075716469558991,-0.004860592919003,0.764982068938136,0.171200799710683,0.433785446765694,0.346249791655962,0.837060399543276,-0.000995281038431,0.589052936224689,2.52340447801193,0.613762397076084,3.58182861592635,0.315460226148337,3.10703430188315,3.02286213414078,4.00339051170226,2.31418603067066,2.78905743834722,3.26248513255197,2.06127837486793
4,-0.003754006246854,-0.069014673402463,0.154306760453418,-0.021120995163532,-0.047722601342408,-0.150997038557207,-0.394379263404398,-0.16017824089713,-0.305738640459941,-0.401409634006643,-0.016788308655633,-0.030683397436071,-0.537908105754309,0.183040814906202,0.219098236365644,0.008886457067122,0.427349884360626,0.045101226066997,0.016305199228497,0.26255261644732,0.035315380278557,0.040806780134568,0.181685645788975,-0.008930482201026,-0.038650035222543,-0.024022613511586,0.704241564996178,0.29620911535663,0.087178201022306,-0.026753465310953,0.110254005961637,0.207968608914412,0.610019977394657,0.28178765150879,0.161550851651703,0.646597623209795,0.19255824475944,0.057020278480189,0.254956494720954,2.0721031735547,0.680227257936586,3.28703570070399,0.320813584813758,3.28369223482657,2.62522616407518,3.51041407082168,2.0949096551843,3.16012634357884,3.45787593324511,2.05848411428892
5,0.002708795510026,-0.29885208566261,-0.455531114194741,-0.123060260217294,-0.001417152751431,-0.051092942548989,-0.574001245418203,-0.366075385571493,-0.124625218189918,-0.43893354982129,0.017820723716928,0.0199460592272,-0.464529026401709,0.076855197008494,0.094344648021784,0.10564994391288,0.147299640025859,0.103848115927087,0.01219736965853,0.083841063996189,0.050754692011682,0.168152470543184,0.419188652131257,0.055680091835572,0.215372296798276,0.185804355759314,0.731519639857679,0.227463534060897,-0.115262481678446,0.037176870421247,0.038963228483883,-0.350915998458954,0.2292900366266,0.182279302034176,0.430477256806076,0.221958874649187,0.343345523447962,0.025024954463434,0.107373808431559,2.11846914459556,0.753191910181324,2.54183826185212,0.371662774413383,2.6249081574758,2.36969850440336,3.29733082590844,1.63474868871782,2.25699616833455,3.3388550280294,1.72565355694878
6,-0.000123379807257,-0.22458122322453,-0.031877703100456,-0.139164640028873,0.003576739122085,-0.441176838602034,-0.103486522111538,-0.320191294785854,-0.213845040258317,-0.120083130860173,-0.013921345957216,0.000987862407357,-0.028131986947127,0.29223877972457,0.376716544690967,0.102958398047766,0.171866404436181,0.014221375279451,0.010819084390731,-0.075700769494767,0.002779481669072,0.08958884466301,0.328688720878961,0.092076083275598,-0.010884725829831,-0.062792677577061,0.482683642537095,0.314041882543126,-0.038190080275191,-0.001012920870167,-0.045902275868044,-0.23224803611454,-0.196424026505151,-0.069603844591415,-0.300185424260685,0.185785096859107,-0.047477687616207,-0.021116376801328,-0.074130457536307,1.84787725234888,0.588648992474647,3.37277288618412,0.2649449979082,3.48008490797144,2.37438161704892,2.91379267601597,1.85297044499995,2.63788678249333,3.14503452284146,1.49217069023466
7,-0.002560164721152,-0.088905331614788,-0.081084507151007,0.019573534644388,-0.068440467086229,-0.234281923839318,-0.046567116719368,0.172424456717423,-0.168806664979444,-0.596061028345023,0.016809521177255,-0.007468531694345,-0.061775561143221,0.503774652572684,0.238534347167817,0.061232288824344,0.168022089918471,0.102110086362501,0.009753563244068,0.133655900996764,0.030655718131561,0.037261446945457,-0.327652235975373,0.059380235868014,0.283293489747441,0.134798449085163,-0.100573104599771,0.059885685123321,0.067189492161577,0.001192082006344,-0.034352398926801,0.127824537892747,-0.011253833258139,0.034504465817603,-0.015574509705713,-0.399701841015138,0.020033892327192,0.004870914831905,0.430495586862368,2.06556562393702,0.540964287370218,2.56199751771242,0.304452443463021,2.34403785976729,2.46522841107537,2.97227312558178,1.81983686982188,2.20368786446092,3.47334208292847,1.55275010483753
8,0.001240394100012,-0.148662873836421,-0.378268058983109,-0.125934519907164,-0.058604463894474,-0.591217906611301,0.12377024180829,-0.140176872386571,-0.223342232707866,-0.127863673794409,-0.038164023024847,0.001722697555251,-0.301643020877512,-0.027759095679214,-0.026927109897353,0.084330065021437,0.204819719077374,0.098175437043449,0.005212893893184,0.179725779231987,0.066031214141685,0.151112483433114,-0.008067495254231,-0.003864457590383,0.036143012797747,0.160086460493353,0.269526190012548,0.389830498790932,0.196961507633908,-0.077942755041902,0.038234453714244,0.634193483521457,-0.065542382063783,0.033681200842063,0.220575345487822,-0.019273404096014,0.298232906484042,0.002564262924988,0.091962276024743,1.95937131758754,0.524815133207594,2.36209437990636,0.316054301291231,2.40559717517503,1.63635451565372,2.23563047075184,1.89604106868976,2.45282391926533,3.60155534681984,1.9897114594487
9,-0.003455139375532,0.127518518288711,-0.187602437229336,0.027198868723048,-0.021372594643607,0.228446236664359,0.11923352078882,0.601350414053567,-0.025302690571534,0.017681460694753,-0.002106162601989,-0.046405085625244,-0.185666366873409,0.37478470037393,0.358371223552138,0.014323751841866,-0.051586528930737,-0.00712515733589,-0.003483538726908,0.257552115749281,-0.046191873165636,-0.092932989108762,0.298456771787847,-0.054740419043586,-0.041768761207005,0.096564541225546,1.37782930841452,0.766619935314424,0.23599655836748,0.105870839735934,0.033812569288524,0.076481334801499,-0.022483639795628,0.189093177527833,0.520887919836958,0.604367846079215,0.444872355687069,0.062945684343241,0.443755138262092,1.5422659174032,0.454014690567423,2.7262032431115,0.27051154263954,2.44922792222486,2.0649538620375,2.98164665330462,1.69343317727155,1.98301115589403,2.51183596686187,1.6534265264454
10,-0.005611090373952,-0.154733845069277,0.072513114758369,-0.067951103599917,0.022440818164439,0.074635144526201,-0.054071984592959,-0.497915411139032,-0.174471813136572,-0.052388240143394,-0.039825449401499,0.041055775769935,-0.516539123656995,0.41517048310553,-0.175821880185796,-0.042721080848551,0.487457610621312,-0.034885398951775,0.014352528993616,0.073395773833967,0.038646200328668,0.172411103429323,-0.029986223098856,0.062213205080459,0.279318686808959,0.109512713868744,0.431137912323208,0.874715677091285,0.256072401663113,0.117708125826669,0.063658869519527,1.08577685957759,0.407095275081465,0.183506828387197,0.408050578364823,0.293012741596028,0.379379929299079,0.111196939797668,0.228726159382451,1.74643714656215,0.568700784327433,2.99217766480429,0.20469435426598,2.21555799806223,2.38923121139351,2.93722803776393,1.70560277197214,2.31922026602159,3.04424044194714,1.2144873642787
11,0.003589642498735,0.173245880146452,0.109887889790503,-0.046906566550018,0.062237404232846,-0.243707701424837,-0.096112001150663,0.842249941272751,0.083248580161775,0.002337931279565,0.011288781126086,-0.001870279509489,-0.550589156974069,0.550147213439736,1.02577852494967,0.108415121195003,0.564406647915159,0.064761603273071,0.010170812571537,-0.00545325084902,0.029343863458244,0.400763929866768,0.66043373539609,0.151108190828616,0.131371313069288,0.043352485815367,0.692567997272368,0.097158575562394,0.372682904152975,0.11468147794356,0.001611011822405,1.52229701602941,0.752621411805922,0.35983236391122,0.154974048103796,0.515639736978029,0.432754842993292,0.007513548133327,0.516037059332234,1.6227765627117,0.489022863223874,2.14929374361753,0.285446379671369,1.92683217053065,1.42029405094039,2.04038533652102,1.40000736453594,2.26828146861044,2.85435144205531,1.396982741445
